Date,Close,High,Low,Open,Volume
2021-09-03T00:00:00.000,17323.59961,17340.09961,17212.19922,17262.44922,261400
2021-09-06T00:00:00.000,17377.80078,17429.55078,17345.55078,17399.34961,228000
2021-09-07T00:00:00.000,17362.09961,17436.5,17287,17401.55078,243400
2021-09-08T00:00:00.000,17353.5,17383.40039,17254.19922,17375.75,252700
2021-09-09T00:00:00.000,17369.25,17379.65039,17302.69922,17312.84961,241500
2021-09-13T00:00:00.000,17355.30078,17378.34961,17269.15039,17363.55078,241100
2021-09-14T00:00:00.000,17380,17438.55078,17367.05078,17420.34961,230400
2021-09-15T00:00:00.000,17519.44922,17532.69922,17386.90039,17387.65039,388200
2021-09-16T00:00:00.000,17629.5,17644.59961,17510.44922,17539.19922,503300
2021-09-17T00:00:00.000,17585.15039,17792.94922,17537.65039,17709.65039,508300
2021-09-20T00:00:00.000,17396.90039,17622.75,17361.80078,17443.84961,339100
2021-09-21T00:00:00.000,17562,17578.34961,17326.09961,17450.5,363600
2021-09-22T00:00:00.000,17546.65039,17610.44922,17524,17580.90039,295200
2021-09-23T00:00:00.000,17822.94922,17843.90039,17646.55078,17670.84961,320500
2021-09-24T00:00:00.000,17853.19922,17947.65039,17819.40039,17897.44922,360100
2021-09-27T00:00:00.000,17855.09961,17943.5,17802.90039,17932.19922,295700
2021-09-28T00:00:00.000,17748.59961,17912.84961,17576.09961,17906.44922,398000
2021-09-29T00:00:00.000,17711.30078,17781.75,17608.15039,17657.94922,562200
2021-09-30T00:00:00.000,17618.15039,17742.15039,17585.34961,17718.90039,378600
2021-10-01T00:00:00.000,17532.05078,17557.15039,17452.90039,17531.90039,305800
2021-10-04T00:00:00.000,17691.25,17750.90039,17581.34961,17615.55078,295800
2021-10-05T00:00:00.000,17822.30078,17833.44922,17640.90039,17661.34961,427000
2021-10-06T00:00:00.000,17646,17884.59961,17613.15039,17861.5,395800
2021-10-07T00:00:00.000,17790.34961,17857.55078,17763.80078,17810.55078,419900
